FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
build_thunk, gcc-2.8.0\cp\cvt.c, 13, 2, 2, 1, 1, 6, 2
convert_fn_ptr, gcc-2.8.0\cp\cvt.c, 6, 1, 1, 0, 0, 3, 2
cp_convert_to_pointer, gcc-2.8.0\cp\cvt.c, 152, 8083, 35, 5, 35, 32, 25
convert_to_pointer_force, gcc-2.8.0\cp\cvt.c, 55, 17, 9, 4, 14, 20, 11
build_up_reference, gcc-2.8.0\cp\cvt.c, 47, 16, 7, 2, 7, 14, 22
build_type_conversion_1, gcc-2.8.0\cp\cvt.c, 29, 10, 6, 2, 5, 13, 4
sorry, gcc-2.8.0\toplev.c, 8, 1, 1, 0, 0, 33, 2
get_binfo, gcc-2.8.0\cp\search.c, 33, 27, 7, 1, 5, 32, 4
build1, gcc-2.8.0\tree.c, 28, 20, 9, 2, 0, 138, 14
build_ptrmemfunc, gcc-2.8.0\cp\typeck.c, 78, 10, 8, 2, 7, 38, 19
complete_type, gcc-2.8.0\cp\typeck.c, 20, 5, 5, 2, 2, 54, 6
cp_error, gcc-2.8.0\cp\errfn.c, 9, 2, 2, 1, 0, 146, 1
build_type_conversion, gcc-2.8.0\cp\cvt.c, 53, 34, 13, 4, 10, 25, 8
get_base_distance, gcc-2.8.0\cp\search.c, 56, 176, 12, 2, 5, 41, 9
build, gcc-2.8.0\tree.c, 51, 12, 14, 4, 2, 141, 10
resolve_offset_ref, gcc-2.8.0\cp\init.c, 117, 76, 19, 2, 23, 45, 21
build_addr_func, gcc-2.8.0\cp\call.c, 20, 4, 4, 2, 3, 10, 8
cp_pedwarn, gcc-2.8.0\cp\errfn.c, 9, 2, 2, 1, 0, 42, 1
build_vbase_path, gcc-2.8.0\cp\class.c, 133, 4777, 22, 5, 19, 28, 23
my_friendly_assert, gcc-2.8.0\cp\typeck2.c, 7, 2, 2, 1, 0, 81, 1
convert_to_pointer, gcc-2.8.0\convert.c, 29, 6, 6, 2, 5, 10, 11
build_optr_ref, gcc-2.8.0\cp\sig.c, 7, 1, 1, 0, 0, 6, 3
integer_zerop, gcc-2.8.0\tree.c, 13, 2, 2, 1, 0, 67, 1
build_int_2_wide, gcc-2.8.0\tree.c, 10, 1, 1, 0, 0, 96, 7
type_precision, gcc-2.8.0\tree.c, 9, 1, 2, 0, 0, 7, 1
cp_convert, gcc-2.8.0\cp\cvt.c, 6, 1, 1, 0, 0, 45, 2
type_for_size, gcc-2.8.0\c-common.c, 26, 10, 19, 1, 9, 46, 1
real_lvalue_p, gcc-2.8.0\cp\tree.c, 58, 19, 28, 2, 72, 24, 3
toplevel_bindings_p, gcc-2.8.0\cp\decl.c, 15, 5, 5, 2, 6, 24, 1
get_temp_name, gcc-2.8.0\cp\decl2.c, 31, 4, 3, 1, 1, 10, 19
process_args, gcc-2.8.0\config\winnt\ld.c, 33, 7, 7, 2, 4, 3, 7
build_decl, gcc-2.8.0\tree.c, 16, 3, 3, 1, 1, 77, 9
cp_finish_decl, gcc-2.8.0\cp\decl.c, 488, 999999999, 122, 7, 52, 105, 75
error_not_base_type, gcc-2.8.0\cp\typeck2.c, 9, 2, 2, 1, 0, 19, 2
convert_pointer_to_real, gcc-2.8.0\cp\cvt.c, 49, 18, 9, 3, 7, 29, 11
build_pointer_type, gcc-2.8.0\tree.c, 15, 2, 2, 1, 1, 100, 9
convert_to_reference, gcc-2.8.0\cp\cvt.c, 172, 3150, 34, 4, 38, 32, 27
my_friendly_abort, gcc-2.8.0\cp\typeck2.c, 27, 10, 6, 3, 4, 88, 6
comp_target_types, gcc-2.8.0\cp\typeck.c, 95, 33, 30, 4, 71, 20, 7
cp_build_type_variant, gcc-2.8.0\cp\tree.c, 26, 4, 4, 2, 2, 29, 10
cp_warning, gcc-2.8.0\cp\errfn.c, 9, 2, 2, 1, 0, 40, 1
convert_force, gcc-2.8.0\cp\cvt.c, 26, 7, 5, 1, 3, 21, 8
convert_for_initialization, gcc-2.8.0\cp\typeck.c, 142, 4740, 37, 4, 39, 48, 29
build_method_call, gcc-2.8.0\cp\call.c, 752, 999999999, 160, 6, 203, 108, 86
build_expr_list, gcc-2.8.0\tree.c, 11, 1, 1, 0, 0, 37, 3
make_decl_rtl, gcc-2.8.0\varasm.c, 118, 8069, 35, 4, 8, 58, 34
perm_tree_cons, gcc-2.8.0\tree.c, 11, 1, 1, 0, 0, 31, 3
build_cplus_new, gcc-2.8.0\cp\tree.c, 18, 2, 2, 1, 1, 19, 5
convert_from_reference, gcc-2.8.0\cp\cvt.c, 11, 4, 3, 1, 1, 43, 2
convert_to_aggr, gcc-2.8.0\cp\cvt.c, 141, 398, 31, 4, 21, 40, 17
expr_tree_cons, gcc-2.8.0\tree.c, 11, 1, 1, 0, 0, 52, 3
alloca, gcc-2.8.0\alloca.c, 34, 18, 6, 2, 4, 174, 9
decl_list_length, gcc-2.8.0\cp\tree.c, 12, 2, 2, 1, 0, 8, 2
compute_conversion_costs, gcc-2.8.0\cp\call.c, 211, 1254074, 39, 6, 24, 33, 22
is_friend, gcc-2.8.0\cp\friend.c, 62, 87, 16, 5, 29, 26, 2
purpose_member, gcc-2.8.0\tree.c, 12, 3, 3, 2, 3, 23, 1
rank_for_overload, gcc-2.8.0\cp\call.c, 20, 7, 7, 2, 7, 6, 1
convert_arguments, gcc-2.8.0\cp\typeck.c, 168, 497416, 38, 5, 38, 35, 28
build_call, gcc-2.8.0\cp\call.c, 21, 3, 3, 1, 1, 32, 8
convert_pointer_to, gcc-2.8.0\cp\cvt.c, 13, 3, 3, 1, 2, 20, 2
ocp_convert, gcc-2.8.0\cp\cvt.c, 172, 6484, 47, 4, 61, 35, 33
fold, gcc-2.8.0\fold-const.c, 1601, 734968523, 388, 5, 3938, 109, 57
decl_constant_value, gcc-2.8.0\cp\init.c, 13, 2, 2, 1, 1, 26, 1
truthvalue_conversion, gcc-2.8.0\c-common.c, 98, 39, 46, 2, 191, 25, 12
convert_to_integer, gcc-2.8.0\convert.c, 192, 98, 43, 5, 119, 19, 20
convert_to_real, gcc-2.8.0\convert.c, 24, 5, 6, 1, 4, 10, 11
convert_to_complex, gcc-2.8.0\convert.c, 45, 6, 6, 2, 7, 12, 7
build_signature_pointer_constructor, gcc-2.8.0\cp\sig.c, 98, 42, 15, 3, 13, 23, 22
build_user_type_conversion, gcc-2.8.0\cp\call.c, 15, 3, 3, 2, 3, 10, 4
equality_op, gcc-2.8.0\config\m88k\m88k.c, 7, 1, 1, 0, 0, 2, 1
index_type_equal, gcc-2.8.0\tree.c, 21, 5, 5, 2, 5, 12, 2
const_uint32_operand, gcc-2.8.0\config\arc\arc.c, 8, 1, 1, 0, 0, 4, 1
vwarning, gcc-2.8.0\toplev.c, 7, 1, 1, 0, 0, 6, 1
build_typename_overload, gcc-2.8.0\cp\method.c, 14, 1, 4, 0, 0, 19, 12
lookup_fnfields, gcc-2.8.0\cp\search.c, 216, 83696, 39, 5, 29, 68, 38
lookup_conversions, gcc-2.8.0\cp\search.c, 12, 2, 2, 1, 0, 11, 3
can_convert, gcc-2.8.0\cp\call.c, 16, 2, 2, 1, 1, 10, 3
build_expr_type_conversion, gcc-2.8.0\cp\cvt.c, 86, 344, 30, 4, 42, 21, 8
build_default_binary_type_conversion, gcc-2.8.0\cp\cvt.c, 101, 80, 34, 2, 27, 7, 7
type_promotes_to, gcc-2.8.0\cp\cvt.c, 36, 8, 9, 2, 6, 29, 4
int_fits_type_p, gcc-2.8.0\tree.c, 19, 2, 2, 1, 1, 28, 1
bc_expand_conversion, gcc-2.8.0\bc-optab.c, 9, 1, 1, 0, 0, 8, 2
bc_expand_truth_conversion, gcc-2.8.0\bc-optab.c, 8, 1, 1, 0, 0, 6, 2
bc_expand_binary_operation, gcc-2.8.0\bc-optab.c, 34, 6, 6, 2, 0, 17, 7
bc_expand_unary_operation, gcc-2.8.0\bc-optab.c, 28, 6, 5, 2, 0, 15, 7
parse_set_mark, gcc-2.8.0\cpplib.c, 11, 1, 1, 0, 0, 9, 5
parse_clear_mark, gcc-2.8.0\cpplib.c, 11, 5, 4, 2, 2, 7, 1
