"","learn method","mmce","acc","auc","ce"
"1","classif.naiveBayes",0.194444444444444,0.805555555555556,0.634920634920635,0.26984126984127
"2","classif.svm",0.125,0.875,0.537918871252205,0.0758377425044092
"3","classif.gbm",0.125,0.875,0.653439153439153,0.306878306878307
"4","classif.lda",0.138888888888889,0.861111111111111,0.64021164021164,0.28042328042328
"5","classif.mlp",0.125,0.875,0.647266313932981,0.294532627865961
"6","classif.randomForest",0.138888888888889,0.861111111111111,0.689594356261023,0.379188712522046
"7","classif.rpart",0.166666666666667,0.833333333333333,0.619929453262787,0.239858906525573
"8","classif.glmnet",0.138888888888889,0.861111111111111,0.661375661375661,0.322751322751323
"9","classif.nnet",0.125,0.875,0.489417989417989,-0.0211640211640212
"10","classif.multinom",0.152777777777778,0.847222222222222,0.649029982363316,0.298059964726631
"11","classif.naiveBayes",0.123287671232877,0.876712328767123,0.866666666666667,0.733333333333333
"12","classif.svm",0.123287671232877,0.876712328767123,0.498412698412698,-0.00317460317460316
"13","classif.gbm",0.136986301369863,0.863013698630137,0.91984126984127,0.83968253968254
"14","classif.lda",0.123287671232877,0.876712328767123,0.931746031746032,0.863492063492064
"15","classif.mlp",0.136986301369863,0.863013698630137,0.772222222222222,0.544444444444445
"16","classif.randomForest",0.150684931506849,0.849315068493151,0.86984126984127,0.73968253968254
"17","classif.rpart",0.150684931506849,0.849315068493151,0.81984126984127,0.63968253968254
"18","classif.glmnet",0.123287671232877,0.876712328767123,0.903174603174603,0.806349206349206
"19","classif.nnet",0.136986301369863,0.863013698630137,0.777777777777778,0.555555555555556
"20","classif.multinom",0.123287671232877,0.876712328767123,0.926984126984127,0.853968253968254
"21","classif.naiveBayes",0.180555555555556,0.819444444444444,0.682258064516129,0.364516129032258
"22","classif.svm",0.138888888888889,0.861111111111111,0.787096774193548,0.574193548387097
"23","classif.gbm",0.138888888888889,0.861111111111111,0.742741935483871,0.485483870967742
"24","classif.lda",0.138888888888889,0.861111111111111,0.717741935483871,0.435483870967742
"25","classif.mlp",0.138888888888889,0.861111111111111,0.686290322580645,0.37258064516129
"26","classif.randomForest",0.138888888888889,0.861111111111111,0.755645161290323,0.511290322580645
"27","classif.rpart",0.111111111111111,0.888888888888889,0.687096774193548,0.374193548387097
"28","classif.glmnet",0.125,0.875,0.74758064516129,0.495161290322581
"29","classif.nnet",0.138888888888889,0.861111111111111,0.814516129032258,0.629032258064516
"30","classif.multinom",0.138888888888889,0.861111111111111,0.714516129032258,0.429032258064516
"31","classif.naiveBayes",0.194444444444444,0.805555555555556,0.767741935483871,0.535483870967742
"32","classif.svm",0.152777777777778,0.847222222222222,0.433870967741936,-0.132258064516129
"33","classif.gbm",0.138888888888889,0.861111111111111,0.809677419354839,0.619354838709677
"34","classif.lda",0.166666666666667,0.833333333333333,0.806451612903226,0.612903225806452
"35","classif.mlp",0.138888888888889,0.861111111111111,0.689516129032258,0.379032258064516
"36","classif.randomForest",0.138888888888889,0.861111111111111,0.795161290322581,0.590322580645161
"37","classif.rpart",0.152777777777778,0.847222222222222,0.733870967741935,0.467741935483871
"38","classif.glmnet",0.152777777777778,0.847222222222222,0.815322580645161,0.630645161290323
"39","classif.nnet",0.138888888888889,0.861111111111111,0.679838709677419,0.359677419354839
"40","classif.multinom",0.152777777777778,0.847222222222222,0.806451612903226,0.612903225806452
"41","classif.naiveBayes",0.152777777777778,0.847222222222222,0.84053651266766,0.68107302533532
"42","classif.svm",0.152777777777778,0.847222222222222,0.842026825633383,0.684053651266766
"43","classif.gbm",0.152777777777778,0.847222222222222,0.83532041728763,0.670640834575261
"44","classif.lda",0.152777777777778,0.847222222222222,0.831594634873323,0.663189269746647
"45","classif.mlp",0.152777777777778,0.847222222222222,0.319672131147541,-0.360655737704918
